"日期","收市","開市","高","低","成交量","更改%"
"2020年12月30日","371.99","372.34","373.10","371.57","49.46M","0.14%"
"2020年12月29日","371.46","373.81","374.00","370.83","53.68M","-0.19%"
"2020年12月28日","372.17","371.74","372.59","371.07","39.00M","0.86%"
"2020年12月24日","369.00","368.08","369.03","367.45","26.46M","0.39%"
"2020年12月23日","367.57","368.28","369.62","367.22","46.20M","0.09%"
"2020年12月22日","367.24","368.21","368.33","366.03","48.39M","-0.17%"
"2020年12月21日","367.86","364.97","378.46","362.03","96.39M","-0.36%"
"2020年12月18日","369.18","370.97","371.15","367.02","136.54M","-0.82%"
"2020年12月17日","372.24","371.94","372.46","371.05","64.12M","0.56%"
"2020年12月16日","370.17","369.82","371.16","368.87","58.42M","0.16%"
"2020年12月15日","369.59","367.40","369.59","365.92","64.07M","1.35%"
"2020年12月14日","364.66","368.64","369.80","364.47","69.22M","-0.45%"
"2020年12月11日","366.30","364.90","366.74","363.26","57.70M","-0.12%"
"2020年12月10日","366.73","365.37","367.86","364.43","57.74M","-0.03%"
"2020年12月9日","366.85","370.88","371.05","365.95","74.10M","-0.90%"
"2020年12月8日","370.17","367.72","370.78","367.67","42.46M","0.29%"
"2020年12月7日","369.09","369.02","369.62","367.72","48.94M","-0.21%"
"2020年12月4日","369.85","367.32","369.85","367.22","50.75M","0.86%"
"2020年12月3日","366.69","366.68","368.19","365.50","62.88M","-0.03%"
"2020年12月2日","366.79","364.82","366.96","364.20","45.93M","0.21%"
"2020年12月1日","366.02","365.57","367.68","364.93","74.50M","1.09%"
"2020年11月30日","362.06","362.83","363.12","359.17","83.87M","-0.44%"
"2020年11月27日","363.67","363.84","364.18","362.58","28.51M","0.28%"
"2020年11月25日","362.66","363.13","363.16","361.48","45.33M","-0.15%"
"2020年11月24日","363.22","360.21","363.81","359.29","62.42M","1.61%"
"2020年11月23日","357.46","357.28","358.82","354.87","63.23M","0.60%"
"2020年11月20日","355.33","357.50","357.72","355.25","70.41M","-0.68%"
"2020年11月19日","357.78","355.60","358.18","354.15","59.94M","0.42%"
"2020年11月18日","356.28","360.91","361.50","356.24","70.59M","-1.20%"
"2020年11月17日","360.62","359.97","361.92","358.34","66.11M","-0.54%"
"2020年11月16日","362.57","360.98","362.78","359.59","74.54M","1.25%"
"2020年11月13日","358.10","355.27","358.90","354.71","62.96M","1.38%"
"2020年11月12日","353.21","355.58","356.72","351.26","68.12M","-0.97%"
"2020年11月11日","356.67","356.40","357.56","355.06","58.65M","0.74%"
"2020年11月10日","354.04","353.49","355.18","350.51","85.55M","-0.15%"
"2020年11月9日","354.56","363.97","364.38","354.06","172.30M","1.26%"
"2020年11月6日","350.16","349.93","351.51","347.65","74.97M","-0.02%"
"2020年11月5日","350.24","349.24","352.19","348.86","82.04M","1.95%"
"2020年11月4日","343.54","340.86","347.94","339.59","126.96M","2.23%"
"2020年11月3日","336.03","333.69","338.25","330.29","93.29M","1.77%"
"2020年11月2日","330.20","330.20","332.36","327.24","86.07M","1.12%"
"2020年10月30日","326.54","328.28","329.69","322.60","120.45M","-1.04%"
"2020年10月29日","329.98","326.91","333.39","325.09","90.60M","1.02%"
"2020年10月28日","326.66","332.10","338.25","326.13","127.09M","-3.42%"
"2020年10月27日","338.22","339.76","340.12","337.99","65.99M","-0.34%"
"2020年10月26日","339.39","342.13","342.98","335.62","91.47M","-1.85%"
"2020年10月23日","345.78","345.93","345.99","343.13","49.14M","0.34%"
"2020年10月22日","344.61","342.96","345.24","340.65","55.40M","0.55%"
"2020年10月21日","342.73","343.33","348.68","342.40","63.57M","-0.19%"
"2020年10月20日","343.38","343.46","346.88","342.64","60.05M","0.40%"
"2020年10月19日","342.01","348.65","349.33","341.04","68.43M","-1.52%"
"2020年10月16日","347.29","348.96","350.75","347.10","89.50M","-0.06%"
"2020年10月15日","347.50","343.71","348.02","343.13","60.36M","-0.12%"
"2020年10月14日","347.93","350.75","351.93","347.14","57.96M","-0.63%"
"2020年10月13日","350.13","352.28","352.47","349.09","73.26M","-0.65%"
"2020年10月12日","352.43","349.59","354.02","349.06","80.39M","1.61%"
"2020年10月9日","346.85","345.56","347.35","344.89","59.53M","0.89%"
"2020年10月8日","343.78","342.85","343.85","341.86","45.24M","0.89%"
"2020年10月7日","340.76","338.12","341.63","338.09","57.00M","1.74%"
"2020年10月6日","334.93","339.91","342.17","334.38","90.13M","-1.42%"
"2020年10月5日","339.76","336.06","339.96","336.01","45.71M","1.77%"
"2020年10月2日","333.84","331.70","337.01","331.19","89.43M","-0.95%"
"2020年10月1日","337.04","337.69","338.74","335.01","88.70M","0.64%"
"2020年9月30日","334.89","333.09","338.29","332.88","104.08M","0.76%"
"2020年9月29日","332.37","333.97","334.77","331.62","51.53M","-0.54%"
"2020年9月28日","334.19","333.22","334.96","332.15","64.58M","1.66%"
"2020年9月25日","328.73","322.58","329.58","321.64","71.07M","1.62%"
"2020年9月24日","323.50","321.22","326.80","319.80","76.68M","0.27%"
"2020年9月23日","322.64","330.90","331.20","322.10","93.11M","-2.32%"
"2020年9月22日","330.30","328.57","330.90","325.86","63.61M","1.02%"
"2020年9月21日","326.97","325.70","327.13","321.73","99.45M","-1.11%"
"2020年9月18日","330.65","335.37","335.49","327.97","105.88M","-1.55%"
"2020年9月17日","335.84","333.56","337.70","332.99","91.52M","-0.88%"
"2020年9月16日","338.82","341.51","343.06","338.52","82.21M","-0.40%"
"2020年9月15日","340.17","341.12","342.02","338.47","52.92M","0.51%"
"2020年9月14日","338.46","337.49","340.38","334.22","65.61M","1.32%"
"2020年9月11日","334.06","335.82","336.97","331.00","84.68M","0.05%"
"2020年9月10日","333.89","341.82","342.53","332.85","90.57M","-1.74%"
"2020年9月9日","339.79","337.55","342.46","336.61","91.46M","1.97%"
"2020年9月8日","333.21","336.71","342.64","332.88","114.47M","-2.73%"
"2020年9月4日","342.57","346.13","347.83","334.87","139.16M","-0.82%"
"2020年9月3日","345.39","355.87","356.38","342.59","148.01M","-3.44%"
"2020年9月2日","357.70","354.67","358.75","353.43","69.54M","1.45%"
"2020年9月1日","352.60","350.21","352.71","349.24","55.00M","0.94%"
"2020年8月31日","349.31","350.35","351.30","349.06","66.10M","-0.36%"
"2020年8月28日","350.58","349.44","350.72","348.15","48.59M","0.65%"
"2020年8月27日","348.33","348.51","349.90","346.53","58.03M","0.22%"
"2020年8月26日","347.57","344.76","347.86","344.17","50.79M","1.00%"
"2020年8月25日","344.12","343.53","344.21","342.27","38.46M","0.35%"
"2020年8月24日","342.92","342.12","343.00","339.45","48.59M","1.01%"
"2020年8月21日","339.48","337.92","339.72","337.55","55.11M","0.35%"
"2020年8月20日","338.28","335.36","338.80","335.22","42.21M","0.31%"
"2020年8月19日","337.23","339.05","339.61","336.62","68.05M","-0.42%"
"2020年8月18日","338.64","338.34","339.10","336.61","38.73M","0.22%"
"2020年8月17日","337.91","337.94","338.34","336.85","35.48M","0.32%"
"2020年8月14日","336.84","336.41","337.42","335.62","47.26M","0.00%"
"2020年8月13日","336.83","336.61","338.25","335.83","41.82M","-0.18%"
"2020年8月12日","337.44","335.44","338.28","332.84","53.83M","1.39%"
"2020年8月11日","332.80","336.85","337.54","332.01","69.60M","-0.83%"
"2020年8月10日","335.57","335.06","335.77","332.95","44.28M","0.30%"
"2020年8月7日","334.57","333.28","334.88","332.30","57.31M","0.07%"
"2020年8月6日","334.33","331.48","334.46","331.13","43.68M","0.67%"
"2020年8月5日","332.11","331.47","332.39","331.18","42.87M","0.62%"
"2020年8月4日","330.06","327.86","330.06","327.86","41.92M","0.39%"
"2020年8月3日","328.79","328.32","329.62","327.73","53.08M","0.70%"
"2020年7月31日","326.52","325.90","326.63","321.33","85.21M","0.79%"
"2020年7月30日","323.96","321.90","324.41","319.64","61.86M","-0.36%"
"2020年7月29日","325.12","322.12","325.73","322.07","48.45M","1.23%"
"2020年7月28日","321.17","322.43","323.64","320.85","57.49M","-0.63%"
"2020年7月27日","323.22","321.63","323.41","320.77","48.29M","0.73%"
"2020年7月24日","320.88","320.95","321.99","319.25","73.77M","-0.64%"
"2020年7月23日","322.96","326.47","327.23","321.48","75.74M","-1.19%"
"2020年7月22日","326.86","324.62","327.20","324.50","57.79M","0.57%"
"2020年7月21日","325.01","326.45","326.93","323.94","57.50M","0.21%"
"2020年7月20日","324.32","321.43","325.13","320.62","56.31M","0.81%"
"2020年7月17日","321.72","321.88","322.57","319.74","62.77M","0.29%"
"2020年7月16日","320.79","319.79","321.28","319.09","54.62M","-0.33%"
"2020年7月15日","321.85","322.41","323.04","319.26","87.20M","0.92%"
"2020年7月14日","318.92","313.30","319.76","312.00","93.66M","1.30%"
"2020年7月13日","314.84","320.13","322.71","314.13","103.00M","-0.87%"
"2020年7月10日","317.59","314.31","317.88","312.76","57.55M","1.02%"
"2020年7月9日","314.38","316.84","317.10","310.68","83.35M","-0.57%"
"2020年7月8日","316.18","314.61","316.30","312.70","54.64M","0.76%"
"2020年7月7日","313.78","315.38","317.52","313.37","82.91M","-1.03%"
"2020年7月6日","317.05","316.37","317.68","315.56","61.71M","1.54%"
"2020年7月2日","312.23","314.24","315.70","311.51","69.34M","0.55%"
"2020年7月1日","310.52","309.57","311.89","309.07","72.40M","0.70%"
"2020年6月30日","308.36","303.99","310.20","303.82","113.39M","1.28%"
"2020年6月29日","304.46","301.41","304.61","298.93","79.77M","1.47%"
"2020年6月26日","300.05","306.16","306.39","299.42","127.96M","-2.38%"
"2020年6月25日","307.35","303.47","307.64","301.28","89.47M","1.07%"
"2020年6月24日","304.09","309.84","310.51","302.10","132.81M","-2.55%"
"2020年6月23日","312.05","313.49","314.50","311.61","68.47M","0.46%"
"2020年6月22日","310.62","307.99","311.05","306.75","74.65M","0.64%"
"2020年6月19日","308.64","314.17","314.38","306.53","135.55M","-1.01%"
"2020年6月18日","311.78","310.00","312.30","309.51","80.83M","0.04%"
"2020年6月17日","311.66","314.07","314.39","310.86","83.40M","-0.42%"
"2020年6月16日","312.96","315.48","315.64","307.67","137.63M","1.92%"
"2020年6月15日","307.05","298.02","308.28","296.74","135.78M","0.93%"
"2020年6月12日","304.21","308.24","309.08","298.60","194.68M","1.20%"
"2020年6月11日","300.61","311.46","312.15","300.01","209.24M","-5.76%"
"2020年6月10日","319.00","321.42","322.39","318.22","95.00M","-0.56%"
"2020年6月9日","320.79","320.30","323.28","319.36","77.48M","-0.75%"
"2020年6月8日","323.20","320.22","323.41","319.63","73.64M","1.21%"
"2020年6月5日","319.34","317.23","321.27","317.16","150.52M","2.56%"
"2020年6月4日","311.36","311.11","313.00","309.08","75.79M","-0.26%"
"2020年6月3日","312.18","310.24","313.22","309.94","92.57M","1.33%"
"2020年6月2日","308.08","306.55","308.13","305.10","74.27M","0.83%"
"2020年6月1日","305.55","303.62","306.20","303.06","56.78M","0.40%"
"2020年5月29日","304.32","302.46","304.96","299.47","119.27M","0.45%"
"2020年5月28日","302.97","304.65","306.84","302.24","90.77M","-0.18%"
"2020年5月27日","303.53","302.12","303.57","296.87","104.82M","1.49%"
"2020年5月26日","299.08","301.93","302.19","295.46","88.95M","1.23%"
"2020年5月22日","295.44","294.57","295.63","293.22","63.96M","0.19%"
"2020年5月21日","294.88","296.79","297.67","293.69","78.29M","-0.69%"
"2020年5月20日","296.93","295.82","297.87","295.57","85.86M","1.70%"
"2020年5月19日","291.97","294.35","296.20","291.95","95.19M","-1.03%"
"2020年5月18日","295.00","293.05","296.75","292.70","120.32M","3.05%"
"2020年5月15日","286.28","282.37","286.33","281.34","111.15M","0.46%"
"2020年5月14日","284.97","278.95","285.11","272.99","121.98M","1.20%"
"2020年5月13日","281.60","286.06","287.19","278.96","144.72M","-1.77%"
"2020年5月12日","286.67","293.79","294.24","286.52","95.87M","-1.99%"
"2020年5月11日","292.50","290.34","294.00","289.88","79.51M","0.02%"
"2020年5月8日","292.44","291.09","292.95","289.86","76.62M","1.65%"
"2020年5月7日","287.68","287.75","289.78","287.13","75.25M","1.21%"
"2020年5月6日","284.25","288.04","288.46","283.78","73.63M","-0.68%"
"2020年5月5日","286.19","286.64","289.25","283.71","79.57M","0.92%"
"2020年5月4日","283.57","280.74","283.90","279.13","80.87M","0.28%"
"2020年5月1日","282.79","285.31","290.66","281.52","125.18M","-2.65%"
"2020年4月30日","290.48","291.71","293.32","288.59","122.90M","-0.93%"
"2020年4月29日","293.21","291.53","294.88","290.41","118.75M","2.62%"
"2020年4月28日","285.73","291.02","291.40","285.40","105.27M","-0.46%"
"2020年4月27日","287.05","285.12","288.27","284.62","77.90M","1.44%"
"2020年4月24日","282.97","280.73","283.70","278.50","85.17M","1.39%"
"2020年4月23日","279.08","280.49","283.94","278.75","104.71M","-0.01%"
"2020年4月22日","279.10","278.35","281.00","276.91","93.52M","2.22%"
"2020年4月21日","273.04","276.73","278.04","272.02","126.39M","-3.04%"
"2020年4月20日","281.59","282.61","286.79","281.35","100.11M","-1.76%"
"2020年4月17日","286.64","285.38","287.30","282.40","146.68M","2.70%"
"2020年4月16日","279.10","279.15","280.03","275.76","131.80M","0.48%"
"2020年4月15日","277.76","277.57","283.94","275.46","121.78M","-2.12%"
"2020年4月14日","283.79","280.98","284.90","275.51","134.14M","2.95%"
"2020年4月13日","275.66","277.14","277.51","271.41","114.84M","-0.91%"
"2020年4月9日","278.20","277.58","281.20","275.47","190.28M","1.52%"
"2020年4月8日","274.03","267.96","276.00","265.25","153.77M","3.36%"
"2020年4月7日","265.13","274.21","275.03","264.89","201.43M","0.10%"
"2020年4月6日","264.86","257.84","267.00","248.17","188.06M","6.72%"
"2020年4月3日","248.19","250.76","253.32","245.22","135.56M","-1.45%"
"2020年4月2日","251.83","245.19","252.68","244.59","177.66M","2.31%"
"2020年4月1日","246.15","247.98","257.66","243.90","189.55M","-4.50%"
"2020年3月31日","257.75","260.56","263.33","256.22","194.88M","-1.49%"
"2020年3月30日","261.65","255.70","262.43","253.53","170.96M","3.25%"
"2020年3月27日","253.42","253.27","260.81","251.05","224.34M","-2.98%"
"2020年3月26日","261.20","249.52","262.80","249.05","257.63M","5.84%"
"2020年3月25日","246.79","244.87","256.35","239.75","299.43M","1.50%"
"2020年3月24日","243.15","234.42","244.10","233.80","235.49M","9.06%"
"2020年3月23日","222.95","228.19","229.68","218.26","326.03M","-2.56%"
"2020年3月20日","228.80","242.53","244.47","228.50","347.16M","-4.87%"
"2020年3月19日","240.51","239.25","247.38","232.22","289.32M","0.21%"
"2020年3月18日","240.00","236.25","248.37","228.02","327.60M","-5.06%"
"2020年3月17日","252.80","245.04","256.17","237.07","262.07M","5.40%"
"2020年3月16日","239.85","241.18","256.90","237.36","297.24M","-10.94%"
"2020年3月13日","269.32","263.09","271.48","248.52","329.57M","8.55%"
"2020年3月12日","248.11","256.00","266.66","247.68","392.22M","-9.57%"
"2020年3月11日","274.36","280.70","281.94","270.88","256.42M","-4.87%"
"2020年3月10日","288.42","284.64","288.52","273.50","276.44M","5.17%"
"2020年3月9日","274.23","275.30","284.19","273.45","309.42M","-7.81%"
"2020年3月6日","297.46","293.15","298.78","290.23","228.67M","-1.65%"
"2020年3月5日","302.46","304.98","308.47","300.01","186.37M","-3.32%"
"2020年3月4日","312.86","306.12","313.10","303.33","176.61M","4.20%"
"2020年3月3日","300.24","309.50","313.84","297.57","300.14M","-2.86%"
"2020年3月2日","309.09","298.21","309.16","294.46","238.70M","4.33%"
"2020年2月28日","296.26","288.70","297.89","285.54","385.76M","-0.42%"
"2020年2月27日","297.51","305.46","311.56","297.51","284.35M","-4.49%"
"2020年2月26日","311.50","314.18","318.11","310.70","194.77M","-0.37%"
"2020年2月25日","312.65","323.94","324.61","311.69","218.91M","-3.03%"
"2020年2月24日","322.42","323.14","333.56","321.24","161.09M","-3.32%"
"2020年2月21日","333.48","335.47","335.81","332.58","113.79M","-1.03%"
"2020年2月20日","336.95","337.74","338.64","333.68","74.16M","-0.41%"
"2020年2月19日","338.34","337.79","339.08","337.48","48.81M","0.48%"
"2020年2月18日","336.73","336.51","337.67","335.21","57.34M","-0.26%"
"2020年2月14日","337.60","337.51","337.73","336.20","64.58M","0.16%"
"2020年2月13日","337.06","335.86","338.12","335.56","54.50M","-0.11%"
"2020年2月12日","337.42","336.83","337.65","336.43","43.99M","0.64%"
"2020年2月11日","335.26","336.16","337.02","334.68","54.86M","0.17%"
"2020年2月10日","334.68","331.23","334.75","331.19","42.07M","0.75%"
"2020年2月7日","332.20","332.82","333.99","331.60","64.14M","-0.53%"
"2020年2月6日","333.98","333.91","334.19","332.80","50.36M","0.34%"
"2020年2月5日","332.86","332.27","333.09","330.67","65.95M","1.15%"
"2020年2月4日","329.06","328.07","330.01","327.72","62.57M","1.52%"
"2020年2月3日","324.12","323.35","326.16","323.22","69.24M","0.74%"
"2020年1月31日","321.73","327.00","327.17","320.73","113.85M","-1.82%"
"2020年1月30日","327.68","324.36","327.91","323.54","75.49M","0.32%"
"2020年1月29日","326.62","328.38","328.63","326.40","54.04M","-0.08%"
"2020年1月28日","326.89","325.06","327.85","323.60","63.83M","1.05%"
"2020年1月27日","323.50","323.03","325.12","322.66","84.06M","-1.60%"
"2020年1月24日","328.77","332.44","332.53","327.36","87.58M","-0.89%"
"2020年1月23日","331.72","330.63","332.17","329.41","51.96M","0.11%"
"2020年1月22日","331.34","332.24","332.95","331.17","48.91M","0.01%"
"2020年1月21日","331.30","330.90","332.18","330.82","77.74M","-0.20%"
"2020年1月17日","331.95","331.70","332.18","330.85","95.85M","0.31%"
"2020年1月16日","330.92","329.70","330.92","329.45","54.05M","0.83%"
"2020年1月15日","328.19","327.35","329.02","327.26","72.06M","0.23%"
"2020年1月14日","327.45","327.47","328.62","326.84","63.04M","-0.15%"
"2020年1月13日","327.95","326.39","327.96","325.92","47.26M","0.69%"
"2020年1月10日","325.71","327.29","327.46","325.20","53.06M","-0.29%"
"2020年1月9日","326.65","326.16","326.73","325.52","48.57M","0.68%"
"2020年1月8日","324.45","322.94","325.78","322.67","68.43M","0.53%"
"2020年1月7日","322.73","323.02","323.54","322.24","42.85M","-0.28%"
"2020年1月6日","323.64","320.49","323.73","320.36","55.76M","0.38%"
"2020年1月3日","322.41","321.16","323.64","321.10","77.78M","-0.76%"
"2020年1月2日","324.87","323.54","324.89","322.53","59.25M","0.94%"
"2019年12月31日","321.86","320.53","322.13","320.15","57.11M","0.24%"
"2019年12月30日","321.08","322.95","323.10","320.55","49.78M","-0.55%"
"2019年12月27日","322.86","323.74","323.80","322.28","42.55M","-0.02%"
"2019年12月26日","322.94","321.65","322.95","321.64","31.02M","0.53%"
"2019年12月24日","321.23","321.47","321.52","320.90","20.27M","0.00%"
"2019年12月23日","321.22","321.59","321.65","321.06","53.02M","0.15%"
"2019年12月20日","320.73","320.46","321.97","319.39","149.34M","-0.05%"
"2019年12月19日","320.90","319.80","320.98","319.52","85.39M","0.41%"
"2019年12月18日","319.59","320.00","320.25","319.53","48.20M","0.01%"
"2019年12月17日","319.57","319.92","320.25","319.48","61.13M","0.02%"
"2019年12月16日","319.50","319.22","320.15","317.25","82.84M","0.69%"
"2019年12月13日","317.32","316.87","318.67","316.02","81.55M","0.06%"
"2019年12月12日","317.13","314.43","317.99","314.17","96.59M","0.86%"
"2019年12月11日","314.42","314.03","314.70","313.44","53.52M","0.28%"
"2019年12月10日","313.53","313.82","314.55","312.81","53.11M","-0.11%"
"2019年12月9日","313.88","314.44","315.18","313.80","34.90M","-0.31%"
"2019年12月6日","314.87","314.12","315.31","314.11","48.96M","0.91%"
"2019年12月5日","312.02","312.23","312.25","310.58","40.78M","0.18%"
"2019年12月4日","311.46","310.70","312.12","310.32","49.19M","0.62%"
"2019年12月3日","309.55","308.65","309.64","307.13","75.17M","-0.67%"
